mcc_id,Merchant Category Code (MCC)
349,MOBILE HOME DEALERS
350,NATIONAL CAR RENTAL
351,ISLAND AIRLINES
352,FUNERAL SERVICES AND CREMATORIES
353,THE PHOENICIAN
354,BOAT RENTALS AND LEASING
355,TURK HAVA YOLLARI (THY)
356,AIR FRANCE
357,AIR CHINA
358,AIR INDIA
359,ASIANA AIRLINES
360,QUANTAS
361,ETHIOPIAN AIRLINES
362,QATAR AIRWAYS
363,VIRGIN AMERICA
364,AIR CANADA
365,AIR NEW ZEALAND LTD. INTERNATIONAL
366,TAP AIR PORTUGAL (TAP)
367,AVIANCA
368,ICELANDAIR
369,AEROLINEAS ARGENTINAS
370,TAM AIRLINES
371,LAN-CHILE
372,TACA INTERNATIONAL
373,KOREAN AIRLINES
374,SCANDINAVIAN AIRLINE SYSTEM (SAS)
375,AIR BERLIN
376,WIG AND TOUPEE SHOPS
377,CIRCUS CIRCUS HOTEL AND CASINO
378,THUNDERBIRD/RED LION
379,MALAYSIAN AIRLINE SYSTEM
380,MIDDLE EAST AIR
381,VIRGIN ATLANTIC
382,PAKISTAN INTERNATIONAL
383,LOT (POLISH AIRLINES)
384,THAI AIRWAYS
385,CARIBBEAN AIRLINES
386,SWISS INTERNATIONAL AIR LINES
387,AEROMEXICO
388,CATHAY PACIFIC
389,VAGABOND HOTELS
390,WESTJET AIRLINES
391,SINGAPORE AIRLINES
392,CIGAR STORES AND STANDS
393,JET AIR
394,AMBULANCE SERVICES
395,GOLDEN NUGGET
396,ARIZONA BILTMORE
397,SONESTA INT'L HOTELS
398,GULF AIR
399,PAYLESS CAR RENTAL
400,TRAILER PARKS AND CAMPGROUNDS
401,EXTENDED STAY
402,SWISSOTEL
403,EASYJET
404,PAWN SHOPS
405,MERIDIEN
406,EXCALIBUR HOTEL AND CASINO
407,FINES
408,KENYA AIRWAYS
409,DIRECT SELLING ESTABLISHMENTS-DOOR TO DOOR SALES
410,THE FLAMINGO HOTELS
411,MANDARIN INT'L
412,ELDORADO HOTEL AND CASINO
413,SIXT CAR RENTAL
414,DANCE HALLS-STUDIOS-AND SCHOOLS
415,AER LINGUS
416,TAROM ROMANIAN AIR TRANSPORT
417,ALITALIA
418,FINNAIR
419,SURINAM AIRWAYS
420,HAWAIIAN AIR
421,ROSEN HOTEL AND RESORTS
422,SAS HOTELS RADISSON
423,WALDORF
424,RIO SUITES
425,NOVOTEL SIEH (ACCOR)
426,COUNTRY INN BY CARLSON
427,SAM'S TOWN HOTEL AND CASINO
428,ADVANTAGE RENT A CAR
429,IBIS-SPHERE SA
430,BEAU RIVAGE HOTEL AND CASINO
431,SILVER LEGACY HOTEL AND CASINO
432,BALLY'S HOTEL AND CASINO
433,ROYAL AIR MAROC
434,JAPAN AIR LINES
435,COURT COST INCLUDING ALIMONY AND CHILD SUPPORT
